unnamed:_0;food;makanan_indonesia;caloric_value;fat;saturated_fats;monounsaturated_fats;polyunsaturated_fats;carbohydrates;sugars;protein;dietary_fiber;cholesterol;sodium;water;vitamin_a;vitamin_b1;vitamin_b11;vitamin_b12;vitamin_b2;vitamin_b3;vitamin_b5;vitamin_b6;vitamin_c;vitamin_d;vitamin_e;vitamin_k;calcium;copper;iron;magnesium;manganese;phosphorus;potassium;selenium;zinc;nutrition_density
1233;arrowroot flour;Tepung Arrowroot;457;0.1;0.019;0.088;0.036;112.8;0.0;0.4;4.4;0.0;0.002;14.6;0.0;0.013;0.043;0.0;0.0;0.0;0.2;0.032;0.0;0.0;0.0;0.0;51.2;0.045;0.4;3.8;0.6;6.4;14.1;0.0;0.067;169.3
1234;chickpea flour;Tepung buncis;356;6.2;0.6;1.4;2.7;53.2;10.0;20.6;9.9;0.0;0.05;9.5;0.0;0.4;0.4;0.0;0.037;1.6;0.6;0.5;0.0;0.0;0.8;0.003;41.4;0.8;4.5;152.7;1.5;292.6;778.3;0.079;2.6;135.8
1235;wheat flour;tepung terigu;455;1.2;0.2;0.1;0.5;95.4;0.3;12.9;3.4;0.0;0.061;14.9;0.0;1.0;0.2;0.0;0.6;7.4;0.5;0.001;0.0;0.0;0.095;0.051;18.8;0.2;5.8;27.5;0.9;135.0;133.8;0.023;0.9;137.5
1236;cornstarch;kanji dr tepung jagung;488;0.03;0.077;0.046;0.012;116.8;0.0;0.3;1.2;0.0;0.093;10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6;0.097;0.6;3.8;0.028;16.6;3.8;0.096;0.081;121.535
1237;carob flour;Tepung Carob;13;0.061;0.041;0.088;0.052;5.3;2.9;0.3;2.4;0.0;0.033;0.2;0.0;0.09;0.007;0.0;0.079;0.1;0.038;0.029;0.088;0.0;0.046;0.0;20.9;0.088;0.2;3.2;0.019;4.7;49.6;0.087;0.087;29.18
1238;buckwheat flour;tepung soba;402;3.7;0.8;1.1;1.1;84.7;3.1;15.1;12.0;0.0;0.033;13.4;0.0;0.5;0.035;0.0;0.2;7.4;0.5;0.7;0.0;0.0;0.4;0.044;49.2;0.6;4.9;301.2;2.4;404.4;692.4;0.04;3.7;169.6
1239;pecan pie;pai pecan;503;27.1;4.9;13.6;7.0;63.7;0.0;6.0;0.0;106.1;0.3;23.8;0.046;0.2;0.083;0.061;0.2;1.0;0.6;0.034;0.2;0.0;0.0;0.0;39.0;0.3;1.8;31.7;0.9;114.7;162.3;0.089;1.2;137.891
1240;apple pie;pai apel;331;15.6;3.8;6.7;4.2;46.4;0.0;3.0;0.0;0.0;0.3;59.1;0.078;0.2;0.02;0.0;0.1;1.5;0.1;0.009;2.1;0.0;0.0;0.0;8.8;0.02;1.4;8.8;0.2;35.0;98.8;0.077;0.2;77.358
1241;vanilla wafer pie crust;kerak pie vanilla wafer;935;63.7;13.1;27.5;18.8;88.4;12.9;6.5;0.2;68.6;0.9;15.0;0.4;0.3;0.071;0.081;0.4;3.7;0.5;0.082;0.2;0.059;5.4;0.028;73.9;0.1;2.9;17.6;0.3;137.3;139.0;0.009;0.4;236.2
1242;chocolate pie crust;Kerak pai cokelat;881;40.8;8.6;26.4;3.7;117.4;47.9;11.1;4.9;0.0;0.9;9.1;0.0;0.6;0.1;0.0;0.5;5.6;0.3;0.049;0.0;0.0;3.3;0.078;58.2;1.4;7.8;72.8;3.3;218.4;340.3;0.033;3.8;240.2
1243;apple strudel;strudel apel;195;8.0;1.5;2.3;3.8;29.2;18.3;2.3;1.6;4.3;0.02;30.9;0.011;0.087;0.082;0.009;0.016;0.2;0.2;0.031;1.2;0.0;1.0;0.002;10.7;0.092;0.3;6.4;0.1;23.4;105.8;0.034;0.1;53.359
1244;chocolate snack cake;Kue camilan cokelat;200;8.0;2.4;4.3;0.9;30.2;18.9;1.8;1.6;0.0;0.2;9.3;0.001;0.051;0.079;0.011;0.013;0.5;0.067;0.068;1.0;0.0;0.5;0.08;58.0;0.2;1.8;18.0;0.2;43.5;88.0;0.006;0.5;102.459
1245;fruit fried pie;pai goreng buah;404;20.6;3.1;9.5;6.9;54.5;27.4;3.8;3.3;0.0;0.4;48.1;0.065;0.2;0.046;0.074;0.1;1.8;0.1;0.019;1.7;0.0;2.2;0.035;28.2;0.094;1.6;12.8;0.3;55.0;83.2;0.094;0.3;113.776
1246;pumpkin pie;pai labu;316;14.4;4.9;5.7;2.8;40.9;0.0;7.0;0.0;65.1;0.3;90.7;0.1;0.1;0.091;0.086;0.3;1.2;0.7;0.077;2.6;0.0;0.0;0.0;145.7;0.1;2.0;29.5;0.3;151.9;288.3;0.058;0.7;212.686
1247;corn cake;kue jagung;35;0.2;0.019;0.032;0.098;7.5;2.1;0.7;0.2;0.0;0.01;0.4;0.013;0.057;0.084;0.0;0.084;0.5;0.023;0.074;0.0;0.0;0.0;0.0;1.7;0.04;0.1;10.3;0.2;14.1;14.1;0.082;0.2;10.437
1248;sponge snack cake;Kue makanan ringan spons;157;4.8;1.7;2.1;0.8;26.9;15.7;1.5;0.4;17.2;0.2;8.2;0.095;0.091;0.096;0.034;0.022;0.7;0.06;0.0;0.089;0.098;0.3;0.011;10.1;0.06;0.6;3.4;0.1;77.7;29.8;0.029;0.3;44.404
1249;danish pastry with nuts;pastry Denmark dengan kacang;280;16.4;3.8;8.9;2.8;29.7;16.8;4.6;1.3;29.9;0.2;13.3;0.054;0.1;0.091;0.088;0.2;1.5;0.5;0.062;1.1;0.0;0.5;0.018;61.1;0.1;1.2;20.8;0.5;71.5;61.8;0.062;0.6;115.451
1250;chocolate cream pie;Pai Krim Cokelat;301;19.2;4.9;11.0;2.4;33.3;0.0;2.6;2.0;5.0;0.1;43.1;0.0;0.002;0.093;0.0;0.1;0.7;0.4;0.023;0.0;0.0;0.0;0.0;35.6;0.078;1.1;20.8;0.2;67.3;125.7;0.016;0.2;93.8
1251;angel food cake;Kue Makanan Malaikat;72;0.2;0.071;0.095;0.1;16.2;0.0;1.7;0.4;0.0;0.2;9.3;0.0;0.095;0.039;0.035;0.1;0.2;0.046;0.058;0.0;0.0;0.0;0.0;39.2;0.058;0.1;3.4;0.012;90.7;26.0;0.095;0.055;57.8
1252;lemon meringue pie;Lemon Meringue Pie;362;16.4;4.0;7.1;4.2;49.7;0.0;4.8;0.0;67.3;0.3;55.0;0.011;0.1;0.009;0.043;0.2;1.2;0.3;0.034;4.2;0.0;0.0;0.0;15.2;0.086;1.3;7.6;0.2;53.3;82.6;0.059;0.4;91.632
1253;danish pastry with cinnamon;pastry Denmark dengan kayu manis;349;16.7;3.5;10.6;1.6;46.9;0.0;4.8;0.0;27.3;0.3;18.4;0.058;0.3;0.072;0.041;0.2;2.2;0.6;0.049;2.6;0.0;0.0;0.0;37.0;0.079;1.8;14.1;0.4;73.9;95.9;0.028;0.5;109.897
1254;cinnamon coffeecake;Coffeecake kayu manis;238;13.3;3.3;7.4;1.8;26.6;0.0;3.9;1.1;18.2;0.2;12.5;0.049;0.1;0.02;0.085;0.1;1.0;0.4;0.046;0.2;0.0;0.0;0.0;30.8;0.006;1.1;12.5;0.3;61.6;70.1;0.048;0.5;77.089
1255;cheesecake;Cheesecake;257;18.0;7.9;6.9;1.3;20.4;17.4;4.4;0.3;44.0;0.4;36.5;0.1;0.061;0.011;0.03;0.2;0.2;0.5;0.1;0.3;0.078;0.4;0.093;40.8;0.039;0.5;8.8;0.1;74.4;72.0;0.079;0.4;84.8
1256;fruitcake;kue buah;139;3.9;0.5;1.8;1.4;26.5;11.8;1.2;1.6;2.2;0.013;10.9;0.06;0.004;0.063;0.0;0.063;0.3;0.015;0.008;0.2;0.0;0.4;0.032;14.2;0.082;0.9;6.9;0.067;22.4;65.8;0.033;0.1;48.507
1257;egg custard;Custard telur;293;12.9;6.1;3.9;1.2;31.0;31.0;14.2;0.0;236.9;0.2;222.4;0.1;0.1;0.025;0.081;0.7;0.3;1.6;0.1;0.0;0.0;0.6;0.097;301.7;0.031;1.0;31.0;0.07;318.7;417.4;0.016;1.5;360.9
1258;mince pie;kue pastel berisi manisan;477;17.8;4.4;7.7;4.7;79.2;46.7;4.3;4.3;0.0;0.4;61.7;0.0;0.2;0.074;0.0;0.2;2.0;0.2;0.1;9.7;0.0;0.2;0.071;36.3;0.2;2.5;23.1;0.4;69.3;335.0;0.099;0.4;154.1
1259;yellow cake with chocolate frosting;kue kuning dengan frosting cokelat;546;25.6;8.3;10.4;6.8;79.7;56.5;4.6;2.2;23.0;0.4;32.2;0.0;0.032;0.0;0.0;0.1;1.2;0.2;0.0;0.0;0.0;6.5;0.089;46.1;0.2;2.9;28.8;0.3;198.7;269.3;0.084;0.6;161.1
1260;danish pastry with fruit;pastry Denmark dengan buah;335;15.9;3.3;10.1;1.6;45.1;0.0;4.8;0.0;18.8;0.3;27.3;0.043;0.3;0.093;0.016;0.2;1.8;0.6;0.005;1.6;0.0;0.0;0.0;21.6;0.059;1.4;14.1;0.2;68.6;110.0;0.052;0.5;90.454
1261;white cake with coconut frosting;kue putih dengan frosting kelapa;399;11.5;4.4;4.1;2.4;70.8;64.3;4.9;1.1;1.1;0.3;23.2;0.015;0.1;0.058;0.091;0.2;1.2;0.2;0.026;0.1;0.047;0.1;0.019;100.8;0.031;1.3;13.4;0.3;78.4;110.9;0.093;0.4;190.574
1262;danish pastry with cheese;pastry Denmark dengan keju;353;24.6;5.1;15.6;2.4;28.7;0.0;5.8;0.0;20.0;0.3;30.8;0.057;0.3;0.035;0.095;0.2;2.5;0.6;0.082;2.6;0.0;0.0;0.0;70.1;0.004;1.8;15.5;0.4;80.1;116.5;0.015;0.6;133.666
1263;graham cracker pie crust;kerak pie graham cracker;917;45.4;9.1;31.0;3.1;117.7;33.2;9.3;3.5;0.0;0.9;8.0;0.0;0.3;0.1;0.0;0.4;5.9;0.3;0.1;0.0;0.0;3.4;0.058;53.1;0.4;4.8;42.1;2.4;214.1;206.8;0.039;2.3;233.8
1264;blueberry pie;Pai Blueberry;360;17.5;4.3;7.5;4.5;49.2;0.0;4.0;0.0;0.0;0.3;75.3;0.0;0.2;0.073;0.0;0.2;1.8;0.2;0.015;1.0;0.0;0.0;0.0;10.3;0.081;1.8;11.8;0.4;44.1;73.5;0.059;0.3;83.8
1265;yellow cake with vanilla frosting;kue kuning dengan vanilla frosting;239;9.3;1.5;3.9;3.3;37.6;0.0;2.2;0.2;35.2;0.2;14.1;0.027;0.018;0.064;0.016;0.099;0.3;0.2;0.001;0.0;0.0;0.0;0.0;39.7;0.017;0.7;3.8;0.089;91.5;33.9;0.02;0.2;89.788
1266;pie crust;kerak pai;121;8.0;2.0;3.5;2.1;10.9;0.045;1.5;0.4;0.0;0.1;2.3;0.0;0.004;0.004;0.0;0.088;0.8;0.048;0.075;0.0;0.0;0.033;0.038;2.3;0.079;0.7;3.2;0.061;15.4;15.4;0.096;0.1;23.8
1267;chocolate cake with chocolate frosting;kue cokelat dengan frosting cokelat;537;27.7;8.2;10.1;6.4;72.9;55.1;4.8;3.0;30.4;0.5;30.4;0.095;0.0;0.098;0.0;0.061;1.1;0.3;0.0;0.1;0.0;6.0;0.02;41.4;0.3;4.2;42.8;0.5;189.1;372.6;0.084;0.8;154.164
1268;cheese coffeecake;Coffeecake Keju;258;11.6;4.1;5.4;1.3;33.7;0.0;5.3;0.8;64.6;0.3;24.5;0.082;0.098;0.001;0.049;0.07;0.5;0.3;0.086;0.041;0.0;0.0;0.0;44.8;0.074;0.5;11.4;0.1;76.8;219.6;0.075;0.4;96.831
1269;vanilla cream pie;Vanilla Cream Pie;350;18.1;5.1;7.6;4.3;41.1;16.0;6.0;0.8;78.1;0.3;59.2;0.1;0.2;0.064;0.086;0.3;1.2;0.5;0.006;0.6;0.076;0.6;0.01;113.4;0.018;1.3;16.4;0.2;131.0;158.8;0.024;0.7;181.4
1270;pineapple cake;kue nanas;367;13.9;3.4;6.0;3.8;58.1;0.0;4.0;0.9;25.3;0.4;37.1;0.078;0.2;0.069;0.091;0.2;1.4;0.2;0.029;1.4;0.0;0.0;0.0;138.0;0.1;1.7;15.0;0.4;94.3;128.8;0.094;0.4;218.024
1271;peach pie;Peach Pie;262;11.7;1.8;5.0;4.4;38.5;19.0;2.2;0.9;0.0;0.3;63.6;0.06;0.025;0.089;0.0;0.082;0.2;0.1;0.047;1.1;0.0;1.1;0.023;9.4;0.082;0.6;7.0;0.2;25.7;146.3;0.025;0.1;64.447
1272;fruit coffeecake;Coffeecake buah;156;5.1;1.2;2.8;0.7;25.8;0.0;2.6;1.3;3.5;0.2;15.9;0.0;0.089;0.042;0.0;0.037;1.3;0.3;0.013;0.4;0.0;0.0;0.0;22.5;0.02;1.2;8.5;0.1;59.0;45.0;0.056;0.3;58.9
1273;pound cake;Pound Cake;116;6.0;3.5;1.8;0.3;14.6;0.0;1.7;0.2;66.3;0.1;7.4;0.09;0.059;0.055;0.088;0.048;0.4;0.1;0.087;0.0;0.0;0.0;0.0;10.5;0.021;0.4;3.3;0.046;41.1;35.7;0.092;0.1;33.47
1274;pound cake bread;Pound roti kue;215;9.6;1.7;2.4;5.2;28.2;10.0;3.9;0.9;0.0;0.2;12.3;0.0;0.041;0.0;0.0;0.028;2.6;0.3;0.08;0.0;0.0;0.8;0.0;25.3;0.077;1.2;10.5;0.1;165.0;115.5;0.02;0.3;69.1
1275;white cake;kue putih;264;9.2;2.4;3.9;2.3;42.3;26.3;4.0;0.6;1.5;0.2;17.2;0.043;0.1;0.037;0.07;0.2;1.1;0.1;0.02;0.1;0.0;0.073;0.04;96.2;0.003;1.1;8.9;0.1;68.8;70.3;0.033;0.2;153.59
1276;coffeecake with chocolate frosting;Coffeecake dengan frosting cokelat;298;9.7;2.5;5.1;1.3;48.4;0.0;4.5;1.8;62.1;0.3;26.2;0.041;0.006;0.036;0.01;0.024;0.8;0.4;0.051;0.015;0.0;0.0;0.0;34.2;0.056;0.5;13.5;0.2;67.5;70.2;0.034;0.4;99.233
1277;popcorn cake;kue popcorn;38;0.3;0.074;0.06;0.1;8.0;0.001;1.0;0.3;0.0;0.05;0.5;0.0;0.079;0.068;0.0;0.06;0.6;0.002;0.076;0.0;0.0;0.073;0.005;0.9;0.067;0.2;15.9;0.037;27.7;32.7;0.079;0.4;10.7
1278;banana cream pie;pai krim pisang;3190;161.3;44.6;67.8;39.0;390.2;143.0;52.2;8.3;604.9;2.8;568.1;0.7;1.6;0.3;0.006;2.5;12.5;4.6;1.6;19.0;0.009;4.7;0.069;889.5;0.6;12.3;189.8;1.8;1091.1;1956.9;0.1;5.7;1533.5
1279;baked apple pie mcdonalds;pai apel panggang mcdonalds;91;4.4;1.1;2.6;0.3;12.3;4.9;0.9;0.6;0.0;0.076;10.5;0.0;0.093;0.053;0.0;0.045;0.7;0.036;0.027;9.1;0.0;0.5;0.0;5.4;0.03;0.6;2.0;0.071;10.2;17.8;0.0;0.0;33.3
1280;sponge cake;kue bolu;187;2.7;0.8;1.0;0.4;36.4;0.0;4.6;0.0;107.1;0.1;18.5;0.071;0.1;0.076;0.056;0.2;0.8;0.3;0.07;0.0;0.0;0.0;0.0;26.5;0.076;1.0;5.7;0.1;63.0;88.8;0.034;0.4;71.264
1281;yellow cake;kue kuning;245;9.9;2.7;4.2;2.4;36.0;0.0;3.6;0.5;36.7;0.2;17.1;0.094;0.1;0.086;0.016;0.2;1.0;0.2;0.038;0.1;0.0;0.0;0.0;99.3;0.099;1.1;8.2;0.1;79.6;61.9;0.037;0.3;150.51
1282;shortcake;kue pendek;98;4.0;1.1;1.7;1.0;13.7;0.0;1.7;0.0;0.8;0.1;8.0;0.005;0.058;0.027;0.099;0.039;0.7;0.005;0.055;0.07;0.0;0.0;0.0;58.0;0.076;0.7;4.5;0.08;40.5;30.0;0.097;0.1;78.182
1283;cherry pie;pai berisi buah ceri;486;22.0;5.4;9.6;5.8;69.3;0.0;5.0;0.0;0.0;0.3;82.4;0.027;0.3;0.081;0.0;0.2;2.3;0.2;0.016;1.8;0.0;0.0;0.0;18.0;0.1;3.3;16.2;0.4;54.0;138.6;0.011;0.4;119.444
1284;dutch apple pie;pai apel Belanda;397;15.8;3.2;7.9;2.9;61.0;30.2;3.0;2.2;0.0;0.3;56.3;0.008;0.3;0.033;0.0;0.07;1.5;0.1;0.0;7.8;0.0;1.3;0.071;19.2;0.2;1.2;11.0;0.3;39.7;104.1;0.038;0.3;110.281
1285;chocolate cake;kue coklat;352;14.3;5.2;5.7;2.6;50.7;0.0;5.0;1.5;55.1;0.3;23.2;0.0;0.1;0.012;0.027;0.2;1.1;0.3;0.038;0.2;0.0;0.0;0.0;57.0;0.2;1.5;30.4;0.3;100.7;133.0;0.019;0.7;130.2
1286;marshmallow;Marshmallow;64;0.033;0.045;0.035;0.06;16.3;11.5;0.4;0.013;0.0;0.039;3.3;0.0;0.015;0.011;0.0;0.028;0.038;0.014;0.062;0.0;0.0;0.0;0.0;0.6;0.002;0.038;0.4;0.003;1.6;1.0;0.009;0.06;17.445
1287;sugar apple;apel gula;72;0.2;0.009;0.031;0.095;18.2;0.0;1.6;3.4;0.0;0.045;56.4;0.0;0.0;0.066;0.024;0.0;0.093;0.7;0.2;0.2;28.0;0.0;0.0;0.0;18.5;0.075;0.5;16.2;0.0;24.6;190.2;0.083;23.644
1288;toffee;toffee;67;3.9;2.5;1.1;0.1;7.8;7.6;0.1;0.0;12.5;0.044;0.04;0.033;0.074;0.059;0.021;0.076;0.001;0.098;0.044;0.099;0.079;0.0;0.1;0.097;4.1;0.092;0.094;0.5;0.082;3.8;6.1;0.031;12.023
1289;vanilla fudge with nuts;vanilla fudge dengan kacang;123;3.9;1.1;0.7;1.9;21.1;20.1;0.8;0.3;3.7;0.075;2.3;0.064;0.079;0.012;0.018;0.077;0.042;0.046;0.041;0.074;0.0;0.087;0.056;13.3;0.012;0.1;6.8;0.1;20.7;29.1;0.016;0.2;39.577
1290;peanuts chocolate coated;Kacang Kacang Dilapisi Cokelat;21;1.3;0.6;0.5;0.2;2.0;1.5;0.5;0.2;0.4;0.063;0.008;0.09;0.023;0.014;0.019;0.078;0.2;0.027;0.026;0.0;0.0;0.001;0.054;4.2;0.067;0.037;3.8;0.042;8.5;20.1;0.005;0.1;8.305
1291;caramel with nuts chocolate coated;karamel dengan kacang yang dilapisi cokelat;66;2.9;0.7;1.3;0.8;8.5;5.8;1.3;0.6;0.0;0.041;0.9;0.028;0.067;0.066;0.0;0.004;0.7;0.0;0.05;0.2;0.0;0.2;0.024;10.9;0.05;0.2;11.3;0.0;23.2;62.3;0.094;0.3;24.683
1292;gingerbread;roti jahe;263;12.1;3.1;5.3;3.1;36.4;0.0;2.9;0.0;23.7;0.2;20.7;0.036;0.1;0.088;0.027;0.1;1.3;0.3;0.1;0.082;0.0;0.0;0.0;52.5;0.1;2.1;51.8;0.5;40.0;324.9;0.082;0.3;106.123
1293;rolo nestle;Rolo Nestle;24;1.0;0.6;3.4;2.9;0.2;0.078;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.234
1294;vanilla fudge;Vanilla Fudge;108;1.5;1.0;0.4;0.084;23.2;22.6;0.3;0.0;4.2;0.04;3.1;0.063;0.013;0.056;0.076;0.012;0.093;0.015;0.095;0.0;0.0;0.067;0.026;10.8;0.036;0.036;0.8;0.045;8.5;13.9;0.004;0.089;35.944
1295;halavah;Halavah;328;15.1;2.9;5.7;5.9;42.3;0.0;8.7;3.2;0.0;0.1;2.6;0.0;0.3;0.016;0.0;0.036;2.0;0.1;0.2;0.097;0.0;0.0;0.0;23.1;0.8;3.2;152.6;0.6;424.9;130.9;0.036;3.0;95.618
1296;praline;Praline;189;10.1;0.9;5.7;3.0;23.2;21.8;1.3;1.4;0.0;0.016;4.0;0.0;0.066;0.096;0.0;0.071;0.2;0.1;0.021;0.1;0.0;0.2;0.033;16.8;0.2;0.5;19.1;0.7;40.6;84.6;0.021;0.7;53.4
1297;fruit juice bar;Bilah jus buah;67;0.089;0.0;0.0;0.026;15.6;13.5;0.9;0.8;0.0;0.011;60.3;0.0;0.022;0.032;0.0;0.055;0.1;0.099;0.094;7.3;0.0;0.0;0.092;3.9;0.0;0.1;3.1;0.1;4.6;40.8;0.007;0.068;28.671
1298;peanut brittle;rempeyek;138;5.4;1.2;2.3;1.3;20.2;14.5;2.1;0.7;3.4;0.1;0.2;0.051;0.015;0.046;0.0;0.098;0.7;0.1;0.029;0.0;0.0;0.7;0.06;7.6;0.086;0.3;11.9;0.2;30.0;47.5;0.037;0.2;36.343
1299;butterscotch;Butterscotch;21;0.2;0.1;0.07;0.076;4.8;4.3;0.079;0.0;0.5;0.039;0.3;0.076;0.008;0.0;0.0;0.087;0.093;0.075;0.0;0.0;0.0;0.059;0.092;0.2;0.062;0.02;0.0;0.076;0.04;0.2;0.011;0.001;5.351
1300;chocolate coffee beans;Biji kopi cokelat;155;9.4;5.1;3.9;0.4;15.6;14.4;2.1;1.6;5.7;0.006;0.7;0.049;0.007;0.016;0.063;0.011;0.052;0.1;0.002;0.0;0.0;0.1;0.04;47.8;0.1;0.6;18.1;0.2;53.2;116.9;0.056;0.6;77.127
1301;nougat with almonds;Nougat dengan almond;56;0.2;0.2;0.0;0.0;12.9;11.7;0.5;0.5;0.0;0.061;0.3;0.0;0.058;0.044;0.0;0.045;0.083;0.044;0.001;0.096;0.0;0.4;0.0;4.5;0.051;0.082;4.5;0.043;7.7;14.7;0.062;0.051;18.658
1302;carob;Carob;135;7.8;7.3;0.1;0.028;14.1;8.5;2.0;1.0;0.3;0.015;0.4;0.0;0.0;0.02;0.087;0.086;0.027;0.3;0.2;0.007;0.1;0.0;0.4;0.051;75.8;0.011;0.3;9.0;0.059;31.5;158.3;0.087;25.013
1303;peanut butter fudge;Fudge selai kacang;62;1.1;0.3;0.5;0.3;12.4;11.7;0.6;0.1;0.5;0.085;1.7;0.081;0.064;0.09;0.095;0.07;0.2;0.028;0.052;0.0;0.0;0.2;0.068;6.7;0.016;0.072;3.2;0.077;10.9;19.0;0.007;0.021;21.055
1304;sugar coated almonds;Almond yang dilapisi gula;17;0.6;0.016;0.4;0.1;2.4;2.2;0.4;0.013;0.0;0.021;0.094;0.0;0.08;0.033;0.0;0.098;0.046;0.029;0.092;0.0;0.0;0.4;0.0;3.5;0.073;0.061;4.8;0.091;5.8;8.9;0.009;0.085;6.936
1305;chocolate coated marshmallow;Marshmallow berlapis cokelat;118;4.7;1.3;2.6;0.5;19.0;12.5;1.1;0.6;0.0;0.002;2.8;0.043;0.07;0.002;0.098;0.027;0.2;0.1;0.087;0.093;0.0;0.022;0.03;12.9;0.013;0.7;10.1;0.061;27.2;51.0;0.076;0.2;39.096
1306;raisins chocolate coated;kismis cokelat dilapisi;390;14.8;10.3;3.1;0.6;68.4;62.2;4.1;3.1;3.0;0.021;11.2;0.059;0.018;0.016;0.066;0.2;0.4;0.3;0.08;0.2;0.0;0.3;0.054;86.0;0.4;1.7;45.0;0.4;143.0;514.0;0.053;1.3;178.329
1307;chewing gum sugarless;Mengunyah permen karet tanpa gula;5;0.013;0.09;0.081;0.038;1.9;0.0;0.0;0.078;0.0;0.001;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;2.378
1308;chewing gum;permen karet;11;0.032;0.058;0.06;0.015;2.9;2.0;0.0;0.012;0.0;0.083;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.045;0.0;2.973
1309;chocolate syrup;sirup cokelat;109;0.4;0.2;0.1;0.011;25.4;19.4;0.8;1.0;0.0;0.061;12.1;0.0;0.055;0.096;0.0;0.099;0.1;0.096;0.089;0.009;0.0;0.086;0.049;5.5;0.2;0.8;25.4;0.1;50.3;87.4;0.08;0.3;33.955
1310;chocolate fudge syrup;Sirup Fudge Cokelat;67;1.7;0.8;0.7;0.086;12.0;6.6;0.9;0.5;0.2;0.084;4.1;0.07;0.015;0.079;0.029;0.077;0.02;0.073;0.046;0.023;0.0;0.5;0.035;9.3;0.076;0.2;9.1;0.013;18.4;54.0;0.044;0.2;24.726
1311;m ms milk chocolate mars;m ms susu cokelat mars;207;8.9;5.5;2.2;0.4;29.9;26.7;1.8;1.2;5.9;0.018;0.7;0.086;0.097;0.016;0.063;0.08;0.1;0.1;0.015;0.2;0.0;0.2;0.032;44.1;0.1;0.5;18.5;0.1;61.3;109.6;0.064;0.7;86.651
1312;milk chocolate with almonds;Cokelat susu dengan almond;216;14.1;7.3;4.9;1.2;21.9;18.0;3.7;2.5;7.8;0.051;0.6;0.049;0.02;0.06;0.093;0.2;0.3;0.2;0.047;0.084;0.0;1.3;0.016;91.8;0.2;0.7;36.9;0.3;108.2;182.0;0.067;0.5;134.811
1313;chocolate fudge;Fudge Cokelat;70;1.8;1.1;0.5;0.055;13.0;12.4;0.4;0.3;2.4;0.032;1.7;0.067;0.028;0.062;0.061;0.029;0.054;0.011;0.044;0.0;0.0;0.075;0.068;8.3;0.059;0.3;6.1;0.044;12.1;22.8;0.01;0.2;24.119
1314;milk chocolate with rice cereal;cokelat susu dengan sereal nasi;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1315;m ms peanut chocolate mars;ms ms chocolate mars;93;4.7;1.8;1.5;0.6;10.9;9.1;1.7;0.7;1.4;0.017;0.4;0.035;0.064;0.097;0.051;0.062;0.6;0.1;0.061;0.0;0.0;0.5;0.086;18.4;0.057;0.2;12.4;0.1;34.2;62.5;0.099;0.3;36.623
1316;dark chocolate;Cokelat hitam;165;9.7;5.7;2.9;0.3;18.0;13.8;1.5;2.2;2.1;0.013;0.3;0.074;0.0;0.052;0.0;0.077;0.004;0.2;0.084;0.064;0.0;0.0;0.2;0.087;17.1;0.3;2.4;45.6;0.4;64.2;170.4;0.033;31.848
1317;chocolate semisweet;Semisweet Cokelat;806;50.4;29.8;16.7;1.6;107.4;91.6;7.1;9.9;0.0;0.042;1.2;0.0;0.023;0.094;0.0;0.2;0.7;0.2;0.036;0.0;0.0;0.4;0.066;53.8;1.2;5.3;193.2;1.3;221.8;613.2;0.055;2.7;233.9
1318;after eight mints nestle;Setelah delapan permen bersarang;36;1.0;0.7;0.0;0.0;6.7;5.6;0.1;0.2;0.0;0.025;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;0.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;9.163
1319;milk chocolate;coklat susu;37;2.1;1.3;0.5;0.036;4.2;3.6;0.5;0.2;1.6;0.045;0.1;0.049;0.097;0.033;0.01;0.066;0.079;0.087;0.089;0.0;0.0;0.003;0.017;13.2;0.083;0.2;4.4;0.014;14.6;26.0;0.007;0.2;20.464
1320;white chocolate;coklat putih;162;9.6;5.8;2.7;0.3;17.8;17.7;1.8;0.081;6.3;0.009;0.4;0.072;0.072;0.051;0.022;0.091;0.2;0.2;0.042;0.2;0.0;0.3;0.082;59.7;0.01;0.025;3.6;0.1;52.8;85.8;0.073;0.2;89.212
